subdomain,ip,provider,detail
156050.rgs.uci.edu,128.200.156.50,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156048.rgs.uci.edu,128.200.156.48,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156049.rgs.uci.edu,128.200.156.49,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156052.rgs.uci.edu,128.200.156.52,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156051.rgs.uci.edu,128.200.156.51,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156053.rgs.uci.edu,128.200.156.53,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156055.rgs.uci.edu,128.200.156.55,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156056.rgs.uci.edu,128.200.156.56,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156057.rgs.uci.edu,128.200.156.57,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156058.rgs.uci.edu,128.200.156.58,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156039.rgs.uci.edu,128.200.156.39,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156059.rgs.uci.edu,128.200.156.59,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156062.rgs.uci.edu,128.200.156.62,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156060.rgs.uci.edu,128.200.156.60,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156063.rgs.uci.edu,128.200.156.63,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156065.rgs.uci.edu,128.200.156.65,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156066.rgs.uci.edu,128.200.156.66,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156067.rgs.uci.edu,128.200.156.67,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156061.rgs.uci.edu,128.200.156.61,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156064.rgs.uci.edu,128.200.156.64,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156068.rgs.uci.edu,128.200.156.68,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156071.rgs.uci.edu,128.200.156.71,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156070.rgs.uci.edu,128.200.156.70,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156069.rgs.uci.edu,128.200.156.69,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156073.rgs.uci.edu,128.200.156.73,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156074.rgs.uci.edu,128.200.156.74,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156077.rgs.uci.edu,128.200.156.77,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156076.rgs.uci.edu,128.200.156.76,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156075.rgs.uci.edu,128.200.156.75,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156054.rgs.uci.edu,128.200.156.54,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156072.rgs.uci.edu,128.200.156.72,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156078.rgs.uci.edu,128.200.156.78,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156084.rgs.uci.edu,128.200.156.84,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156079.rgs.uci.edu,128.200.156.79,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156083.rgs.uci.edu,128.200.156.83,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156085.rgs.uci.edu,128.200.156.85,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156086.rgs.uci.edu,128.200.156.86,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156087.rgs.uci.edu,128.200.156.87,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156088.rgs.uci.edu,128.200.156.88,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156089.rgs.uci.edu,128.200.156.89,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156090.rgs.uci.edu,128.200.156.90,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156091.rgs.uci.edu,128.200.156.91,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156092.rgs.uci.edu,128.200.156.92,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156093.rgs.uci.edu,128.200.156.93,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156094.rgs.uci.edu,128.200.156.94,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156095.rgs.uci.edu,128.200.156.95,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156100.rgs.uci.edu,128.200.156.100,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156096.rgs.uci.edu,128.200.156.96,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156097.rgs.uci.edu,128.200.156.97,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156099.rgs.uci.edu,128.200.156.99,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156101.rgs.uci.edu,128.200.156.101,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156102.rgs.uci.edu,128.200.156.102,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156098.rgs.uci.edu,128.200.156.98,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156107.rgs.uci.edu,128.200.156.107,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156111.rgs.uci.edu,128.200.156.111,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156104.rgs.uci.edu,128.200.156.104,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156110.rgs.uci.edu,128.200.156.110,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156103.rgs.uci.edu,128.200.156.103,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156109.rgs.uci.edu,128.200.156.109,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156114.rgs.uci.edu,128.200.156.114,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156113.rgs.uci.edu,128.200.156.113,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156116.rgs.uci.edu,128.200.156.116,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156115.rgs.uci.edu,128.200.156.115,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156112.rgs.uci.edu,128.200.156.112,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156117.rgs.uci.edu,128.200.156.117,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156118.rgs.uci.edu,128.200.156.118,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156119.rgs.uci.edu,128.200.156.119,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156120.rgs.uci.edu,128.200.156.120,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156121.rgs.uci.edu,128.200.156.121,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156123.rgs.uci.edu,128.200.156.123,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156126.rgs.uci.edu,128.200.156.126,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156124.rgs.uci.edu,128.200.156.124,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156122.rgs.uci.edu,128.200.156.122,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156125.rgs.uci.edu,128.200.156.125,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156106.rgs.uci.edu,128.200.156.106,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156105.rgs.uci.edu,128.200.156.105,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156127.rgs.uci.edu,128.200.156.127,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156133.rgs.uci.edu,128.200.156.133,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156128.rgs.uci.edu,128.200.156.128,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156135.rgs.uci.edu,128.200.156.135,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156129.rgs.uci.edu,128.200.156.129,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156131.rgs.uci.edu,128.200.156.131,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156134.rgs.uci.edu,128.200.156.134,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156130.rgs.uci.edu,128.200.156.130,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156138.rgs.uci.edu,128.200.156.138,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156136.rgs.uci.edu,128.200.156.136,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156140.rgs.uci.edu,128.200.156.140,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156139.rgs.uci.edu,128.200.156.139,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156142.rgs.uci.edu,128.200.156.142,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156141.rgs.uci.edu,128.200.156.141,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156143.rgs.uci.edu,128.200.156.143,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156145.rgs.uci.edu,128.200.156.145,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156147.rgs.uci.edu,128.200.156.147,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156146.rgs.uci.edu,128.200.156.146,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156144.rgs.uci.edu,128.200.156.144,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156148.rgs.uci.edu,128.200.156.148,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156149.rgs.uci.edu,128.200.156.149,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156154.rgs.uci.edu,128.200.156.154,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156151.rgs.uci.edu,128.200.156.151,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156152.rgs.uci.edu,128.200.156.152,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156150.rgs.uci.edu,128.200.156.150,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156153.rgs.uci.edu,128.200.156.153,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156156.rgs.uci.edu,128.200.156.156,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156157.rgs.uci.edu,128.200.156.157,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156155.rgs.uci.edu,128.200.156.155,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156159.rgs.uci.edu,128.200.156.159,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156160.rgs.uci.edu,128.200.156.160,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156132.rgs.uci.edu,128.200.156.132,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156158.rgs.uci.edu,128.200.156.158,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156162.rgs.uci.edu,128.200.156.162,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156161.rgs.uci.edu,128.200.156.161,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156166.rgs.uci.edu,128.200.156.166,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156163.rgs.uci.edu,128.200.156.163,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156165.rgs.uci.edu,128.200.156.165,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156168.rgs.uci.edu,128.200.156.168,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156167.rgs.uci.edu,128.200.156.167,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156176.rgs.uci.edu,128.200.156.176,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156175.rgs.uci.edu,128.200.156.175,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156169.rgs.uci.edu,128.200.156.169,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
