subdomain,ip,provider,detail
www.manufacturing.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.manufacturing.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.medicine.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.medicine.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.medicine.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.internationalaffairs.uci.edu,35.161.47.2,AWS,AMAZON/us-west-2
www.internationalaffairs.uci.edu,44.253.119.58,AWS,AMAZON/us-west-2
www.mdlaudat.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.meng.eng.uci.edu,52.10.250.14,AWS,AMAZON/us-west-2
www.meng.eng.uci.edu,52.40.165.7,AWS,AMAZON/us-west-2
www.laferlalab.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.mecps.uci.edu,100.20.252.144,AWS,AMAZON/us-west-2
www.mecps.uci.edu,54.188.107.138,AWS,AMAZON/us-west-2
www.laferlalab.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.laferlalab.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lakey.som.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lakey.som.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lakey.som.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.imeded.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.imeded.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.imeded.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.medschool.uci.edu,23.185.0.2,Fastly,"AS54113 FASTLY - Fastly, Inc., US"
www.mediaservices.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.mediaservices.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.memory.uci.edu,52.40.165.7,AWS,AMAZON/us-west-2
www.memory.uci.edu,52.10.250.14,AWS,AMAZON/us-west-2
www.lrdp.uci.edu,44.230.166.173,AWS,AMAZON/us-west-2
www.lrdp.uci.edu,52.88.192.85,AWS,AMAZON/us-west-2
www.mfi.soceco.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.mfi.soceco.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.mfi.soceco.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.mfd.computerstore.uci.edu,74.205.225.77,Other,"AS7381 SRS-6-Z-7381 - BroadbandONE, LLC, US"
www.nature.uci.edu,162.159.134.42,Cloudflare,edge
www.microbiome.uci.edu,23.185.0.2,Fastly,"AS54113 FASTLY - Fastly, Inc., US"
www.news.oit.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.news.oit.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.news.oit.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.oclgbthp.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.obgyn.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.obgyn.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.obgyn.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.mcsb.uci.edu,162.159.134.42,Cloudflare,edge
www.ofas.uci.edu,52.10.216.228,AWS,AMAZON/us-west-2
www.ofas.uci.edu,52.10.113.223,AWS,AMAZON/us-west-2
www.oeod.uci.edu,100.20.109.51,AWS,AMAZON/us-west-2
www.oeod.uci.edu,32.184.219.143,AWS,AMAZON/us-west-2
www.oit.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.oit.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.oit.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.ophthalmology.uci.edu,23.185.0.3,Fastly,"AS54113 FASTLY - Fastly, Inc., US"
www.orthopaedicsurgery.uci.edu,54.152.57.190,AWS,AMAZON/us-east-1
www.parking.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.oai.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.parking.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.parking.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.oai.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.oai.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.mems.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.mems.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.mems.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.ombuds.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.ombuds.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
